no,id,key,type,name,size,amount,unit_price,price
1,1210,²øÈÆµæ_2232,²øÈÆµæÆ¬,M1T76J.1207,424*378*330*315,5,5.0,25.0
2,1234,²øÈÆµæ_M1T76F,²øÈÆµæÆ¬,M1T76J.1207,424*378*330*315,5,4.5,22.5
