id,keyname,type,std_code,size
316,缠绕垫_0232::B300-25_0232,缠绕垫片,B300-25_0232,B300-25_0232
317,PTFE垫片::RF15-25,PTFE垫片,RF15-25,RF15-25
318,缠绕垫::D250-300_9929,缠绕垫片,D250-300_9929,D250-300_9929
319,缠绕垫::C53-1400-2.5,缠绕垫片,C53-1400-2.5,C53-1400-2.5
320,PTFE垫片::800-2.5,PTFE垫片,800-2.5,800-2.5
321,PTFE垫片::1600-1.0,PTFE垫片,1600-1.0,1600-1.0
322,PTFE垫片::170*125*3,PTFE垫片,170*125*3,170*125*3
323,PTFE垫片::FF100-16,PTFE垫片,FF100-16,FF100-16
324,PTFE垫片::FF125-16,PTFE垫片,FF125-16,FF125-16
325,PTFE垫片::RF450-1.0,PTFE垫片,RF450-1.0,RF450-1.0
326,缠绕垫_0222::1018*968*932,缠绕垫片,1018*968*932,1018*968*932
327,缠绕垫::C13-1200-4.0,缠绕垫片,C13-1200-4.0,C13-1200-4.0
328,缠绕垫::B82-900-6.4,缠绕垫片,B82-900-6.4,B82-900-6.4
329,缠绕垫::D100-600_5525,缠绕垫片,D100-600_5525,D100-600_5525
330,缠绕垫::B42-1200-6.4,缠绕垫片,B42-1200-6.4,B42-1200-6.4
331,八角垫_S30408::32-2500,金属垫片,32-2500,32-2500
332,缠绕垫::D500-600_5525,缠绕垫片,D500-600_5525,D500-600_5525
333,缠绕垫::D50-600_5525,缠绕垫片,D50-600_5525,D50-600_5525
334,缠绕垫::D200-600_5525,缠绕垫片,D200-600_5525,D200-600_5525
335,PTFE垫片::RF350-10,PTFE垫片,RF350-10,RF350-10
336,PTFE垫片::RF250-0.6,PTFE垫片,RF250-0.6,RF250-0.6
337,PTFE垫片::1400-0.25,PTFE垫片,1400-0.25,1400-0.25
338,XB350垫片::30*22*2,石棉垫片,30*22*2,30*22*2
339,PTFE垫片::MFM100-25,PTFE垫片,MFM100-25,MFM100-25
340,PTFE垫片::MFM25-25,PTFE垫片,MFM25-25,MFM25-25
341,PTFE垫片::MFM500-2.5,PTFE垫片,MFM500-2.5,MFM500-2.5
342,缠绕垫::B25-160_0232,缠绕垫片,B25-160_0232,B25-160_0232
343,缠绕垫::B50-160_0232,缠绕垫片,B50-160_0232,B50-160_0232
344,缠绕垫::B350-2.5_0424,缠绕垫片,B350-2.5_0424,B350-2.5_0424
345,缠绕垫::D200-300_5525,缠绕垫片,D200-300_5525,D200-300_5525
346,缠绕垫::D150-300_5525,缠绕垫片,D150-300_5525,D150-300_5525
347,缠绕垫::B500-2.5_0323,缠绕垫片,B500-2.5_0323,B500-2.5_0323
348,缠绕垫::D250-300_3323,缠绕垫片,D250-300_3323,D250-300_3323
349,缠绕垫::D100-300_2323,缠绕垫片,D100-300_2323,D100-300_2323
350,PTFE垫片::162*102*3,PTFE垫片,162*102*3,162*102*3
351,PTFE垫片::1200-1.0,PTFE垫片,1200-1.0,1200-1.0
352,XB350垫片::32*20*2,石棉垫片,32*20*2,32*20*2
353,PTFE垫片::RF250-10,PTFE垫片,RF250-10,RF250-10
354,RSB_304::1500-1.6,其他,1500-1.6,1500-1.6
355,波齿垫片_10刚+石墨::G5-1600-2.5-2B,金属垫片,G5-1600-2.5-2B,G5-1600-2.5-2B
356,波齿垫片_10刚+石墨::C5-1600-2.5-2B,金属垫片,C5-1600-2.5-2B,C5-1600-2.5-2B
357,缠绕垫_0828::G82-700-6.4-4,缠绕垫片,G82-700-6.4-4,G82-700-6.4-4
358,缠绕垫_0828::B82-700-6.4,缠绕垫片,B82-700-6.4,B82-700-6.4
359,缠绕垫::D25-300_2525,缠绕垫片,D25-300_2525,D25-300_2525
360,PTFE垫片::600-0.6,PTFE垫片,600-0.6,600-0.6
361,缠绕垫::B65-25_0232,缠绕垫片,B65-25_0232,B65-25_0232
362,缠绕垫::B80-25_0232,缠绕垫片,B80-25_0232,B80-25_0232
363,缠绕垫::B50-25_0232,缠绕垫片,B50-25_0232,B50-25_0232
364,缠绕垫::B500-2.5_0232,缠绕垫片,B500-2.5_0232,B500-2.5_0232
365,缠绕垫::D25-300_3323,缠绕垫片,D25-300_3323,D25-300_3323
366,缠绕垫::D100-300_5525,缠绕垫片,D100-300_5525,D100-300_5525
367,缠绕垫::B500-2.5_0525,缠绕垫片,B500-2.5_0525,B500-2.5_0525
368,RSB_304::RF80-300,其他,RF80-300,RF80-300
369,RSB_304::RF200-300,其他,RF200-300,RF200-300
370,RSB_304::RF150-300,其他,RF150-300,RF150-300
371,RSB_304::MFM500-2.5,其他,MFM500-2.5,MFM500-2.5
372,缠绕垫::D80-300_2525,缠绕垫片,D80-300_2525,D80-300_2525
373,缠绕垫::B450-2.5_0525,缠绕垫片,B450-2.5_0525,B450-2.5_0525
374,PTFE垫片::RF50-10,PTFE垫片,RF50-10,RF50-10
375,PTFE垫片::600*518*3,PTFE垫片,600*518*3,600*518*3
376,缠绕垫::D80-300_5525,缠绕垫片,D80-300_5525,D80-300_5525
377,缠绕垫::D40-300_5525,缠绕垫片,D40-300_5525,D40-300_5525
378,缠绕垫::D50-300_5525,缠绕垫片,D50-300_5525,D50-300_5525
379,缠绕垫::D150-300_1525,缠绕垫片,D150-300_1525,D150-300_1525
380,RSB_304::1818*1718*1620*3_24-Ф23,其他,1818*1718*1620*3_24-Ф23,1818*1718*1620*3_24-Ф23
381,RSB_304::RF80-150,其他,RF80-150,RF80-150
382,RSB_304::350*320*280*3_12-Ф18,其他,350*320*280*3_12-Ф18,350*320*280*3_12-Ф18
383,RSB_304::RF250-150,其他,RF250-150,RF250-150
384,缠绕垫::D100-300_2525,缠绕垫片,D100-300_2525,D100-300_2525
385,缠绕垫::D50-300_2525,缠绕垫片,D50-300_2525,D50-300_2525
386,缠绕垫::B42-500-2.5,缠绕垫片,B42-500-2.5,B42-500-2.5
387,缠绕垫::D150-2.5_5525,缠绕垫片,D150-2.5_5525,D150-2.5_5525
388,PTFE垫片::RF500-10,PTFE垫片,RF500-10,RF500-10
389,PTFE垫片::800-0.6,PTFE垫片,800-0.6,800-0.6
390,缠绕垫::D25-150_5525,缠绕垫片,D25-150_5525,D25-150_5525
391,缠绕垫::B42-600-1.6,缠绕垫片,B42-600-1.6,B42-600-1.6
392,缠绕垫::D25-300_5525,缠绕垫片,D25-300_5525,D25-300_5525
393,氟橡胶垫片::157*104*2,橡胶垫片,157*104*2,157*104*2
394,氟橡胶垫片::81*48*2,橡胶垫片,81*48*2,81*48*2
395,氟橡胶垫片::573*500*3,橡胶垫片,573*500*3,573*500*3
396,氟橡胶垫片::120*68*2,橡胶垫片,120*68*2,120*68*2
397,氟橡胶垫片::56*24*2,橡胶垫片,56*24*2,56*24*2
398,氟橡胶垫片::105*76*2,橡胶垫片,105*76*2,105*76*2
399,改性RPTFE垫片::RF20-10,PTFE垫片,RF20-10,RF20-10
400,改性RPTFE垫片::RF25-10,PTFE垫片,RF25-10,RF25-10
401,改性RPTFE垫片::RF40-10,PTFE垫片,RF40-10,RF40-10
402,改性RPTFE垫片::RF50-10,PTFE垫片,RF50-10,RF50-10
403,硅橡胶条::40*30,橡胶垫片,40*30,40*30
404,RSB_304::RF20-25,其他,RF20-25,RF20-25
405,改性RPTFE垫片::800-0.6,PTFE垫片,800-0.6,800-0.6
406,缠绕垫::B100-25_0323,缠绕垫片,B100-25_0323,B100-25_0323
407,缠绕垫::B50-25_0323,缠绕垫片,B50-25_0323,B50-25_0323
408,缠绕垫::B25-25_0323,缠绕垫片,B25-25_0323,B25-25_0323
409,缠绕垫::B65-25_0323,缠绕垫片,B65-25_0323,B65-25_0323
410,缠绕垫::B40-25_0323,缠绕垫片,B40-25_0323,B40-25_0323
411,缠绕垫::B300-40_0232,缠绕垫片,B300-40_0232,B300-40_0232
412,缠绕垫::G13-1200-4.0-4,缠绕垫片,G13-1200-4.0-4,G13-1200-4.0-4
413,缠绕垫::W13-1200-4.0,缠绕垫片,W13-1200-4.0,W13-1200-4.0
414,波齿垫_304+石墨::F1-1200-4.0-4B,金属垫片,F1-1200-4.0-4B,F1-1200-4.0-4B
415,缠绕垫::B22-1400-2.5,缠绕垫片,B22-1400-2.5,B22-1400-2.5
416,缠绕垫::B600-2.5_0525,缠绕垫片,B600-2.5_0525,B600-2.5_0525
417,缠绕垫::B250-2.5_0525,缠绕垫片,B250-2.5_0525,B250-2.5_0525
418,改性RPTFE垫片::700-0.6,PTFE垫片,700-0.6,700-0.6
419,齿形垫_S30408::32-42.0,金属垫片,32-42.0,32-42.0
420,缠绕垫::D250-300_5525,缠绕垫片,D250-300_5525,D250-300_5525
421,改性RPTFE垫片::1400-0.6,PTFE垫片,1400-0.6,1400-0.6
422,改性RPTFE垫片::RF25-16,PTFE垫片,RF25-16,RF25-16
423,RSB_304::RF25-150,其他,RF25-150,RF25-150
424,RSB_304::RF100-150,其他,RF100-150,RF100-150
425,RSB_304::1834*1734*1638*3_24-Ф23,其他,1834*1734*1638*3_24-Ф23,1834*1734*1638*3_24-Ф23
426,改性RPTFE垫片::554*510*3,PTFE垫片,554*510*3,554*510*3
427,PTFE垫片::22*12*1.5,PTFE垫片,22*12*1.5,22*12*1.5
428,改性RPTFE垫片::MFM50-40,PTFE垫片,MFM50-40,MFM50-40
429,缠绕垫::B23-800-1.0,缠绕垫片,B23-800-1.0,B23-800-1.0
430,缠绕垫::B23-500-2.5,缠绕垫片,B23-500-2.5,B23-500-2.5
431,PTFE垫片::700-0.6,PTFE垫片,700-0.6,700-0.6
432,PTFE垫片::RF200-16,PTFE垫片,RF200-16,RF200-16
433,PTFE垫片::RF400-1.0,PTFE垫片,RF400-1.0,RF400-1.0
434,PTFE垫片::RF150-16,PTFE垫片,RF150-16,RF150-16
435,改性RPTFE垫片::400-1.0,PTFE垫片,400-1.0,400-1.0
436,缠绕垫::D40-300_2525,缠绕垫片,D40-300_2525,D40-300_2525
437,改性RPTFE垫片::RF65-150,PTFE垫片,RF65-150,RF65-150
438,PTFE垫片::310*250*2,PTFE垫片,310*250*2,310*250*2
439,缠绕垫::B23-2400-1.0,缠绕垫片,B23-2400-1.0,B23-2400-1.0
440,缠绕垫::B23-1200-1.0,缠绕垫片,B23-1200-1.0,B23-1200-1.0
441,PTFE垫片::575*510*3,PTFE垫片,575*510*3,575*510*3
442,PTFE垫片::135*85*3,PTFE垫片,135*85*3,135*85*3
443,无冷流PTFE垫片::G6-800-1.0-4A,PTFE垫片,G6-800-1.0-4A,G6-800-1.0-4A
444,无冷流PTFE垫片::800-4.0,PTFE垫片,800-4.0,800-4.0
445,无冷流PTFE垫片::G6-800-4.0-4A,PTFE垫片,G6-800-4.0-4A,G6-800-4.0-4A
446,缠绕垫::B200-25_0232,缠绕垫片,B200-25_0232,B200-25_0232
447,PTFE垫片::RF500-16,PTFE垫片,RF500-16,RF500-16
448,PTFE垫片::2300-0.6,PTFE垫片,2300-0.6,2300-0.6
449,PTFE垫片::600-2.5,PTFE垫片,600-2.5,600-2.5
450,缠绕垫::D25-150_1222,缠绕垫片,D25-150_1222,D25-150_1222
451,PTFE垫片::RF65-150,PTFE垫片,RF65-150,RF65-150
452,缠绕垫::B25-300_0424,缠绕垫片,B25-300_0424,B25-300_0424
453,缠绕垫::B450-40_0939,缠绕垫片,B450-40_0939,B450-40_0939
454,无冷流G3500::FF65-16,PTFE垫片,FF65-16,FF65-16
455,缠绕垫::B93-1500-4.0,缠绕垫片,B93-1500-4.0,B93-1500-4.0
456,无冷流G3500::RF40-40,PTFE垫片,RF40-40,RF40-40
457,无冷流G3500::MFM40-40,PTFE垫片,MFM40-40,MFM40-40
458,缠绕垫::B20-40_0939,缠绕垫片,B20-40_0939,B20-40_0939
459,无冷流G3500::RF250-16,PTFE垫片,RF250-16,RF250-16
460,缠绕垫::B25-100_0939,缠绕垫片,B25-100_0939,B25-100_0939
461,缠绕垫::B50-40_0939,缠绕垫片,B50-40_0939,B50-40_0939
462,无冷流G3500::MFM50-40,PTFE垫片,MFM50-40,MFM50-40
463,无冷流G3500::FF125-16,PTFE垫片,FF125-16,FF125-16
464,无冷流G3500::FF15-16,PTFE垫片,FF15-16,FF15-16
465,缠绕垫::B20-100_0939,缠绕垫片,B20-100_0939,B20-100_0939
466,PTFE垫片::RF250-16,PTFE垫片,RF250-16,RF250-16
467,PTFE垫片::RF300-16,PTFE垫片,RF300-16,RF300-16
468,缠绕垫_0424::B42-500-2.5,缠绕垫片,B42-500-2.5,B42-500-2.5
469,PTFE垫片::G6-219-1.6-2A,PTFE垫片,G6-219-1.6-2A,G6-219-1.6-2A
470,缠绕垫_0232::G12-219-4.0-2A,缠绕垫片,G12-219-4.0-2A,G12-219-4.0-2A
471,缠绕垫::B200-40_0323,缠绕垫片,B200-40_0323,B200-40_0323
472,缠绕垫::B25-300_0323,缠绕垫片,B25-300_0323,B25-300_0323
473,PTFE垫片::18*8*2,PTFE垫片,18*8*2,18*8*2
474,丁腈橡胶O型圈::175/5,橡胶垫片,175/5,175/5
475,PTFE垫片::644*604*3,PTFE垫片,644*604*3,644*604*3
476,氯丁橡胶O型圈::175/5.3,橡胶垫片,175/5.3,175/5.3
477,XB350垫片::33*22*2,石棉垫片,33*22*2,33*22*2
478,橡胶垫片::3150*3100*3020*3_48-Ф20,橡胶垫片,3150*3100*3020*3_48-Ф20,3150*3100*3020*3_48-Ф20
479,PTFE垫片::RF80-10,PTFE垫片,RF80-10,RF80-10
480,PTFE垫片::RF100-10,PTFE垫片,RF100-10,RF100-10
481,PTFE垫片::RF200-10,PTFE垫片,RF200-10,RF200-10
482,天然橡胶垫片::3650*3600*3520*3_56-Ф18,橡胶垫片,3650*3600*3520*3_56-Ф18,3650*3600*3520*3_56-Ф18
483,PTFE垫片::RF40-10,PTFE垫片,RF40-10,RF40-10
484,改性RPTFE垫片::600-0.6,PTFE垫片,600-0.6,600-0.6
485,PTFE垫片::2800-0.25,PTFE垫片,2800-0.25,2800-0.25
486,缠绕垫::B42-1300-1.6,缠绕垫片,B42-1300-1.6,B42-1300-1.6
487,缠绕垫::B80-25_0525,缠绕垫片,B80-25_0525,B80-25_0525
488,RSB_304::1655*1600*1460*3_36-Ф30,其他,1655*1600*1460*3_36-Ф30,1655*1600*1460*3_36-Ф30
489,RSB_304::1435*13751220*3_32-Ф30,其他,1435*13751220*3_32-Ф30,1435*13751220*3_32-Ф30
