match,number,typename
盘根,2,盘根
包,8,包覆垫片
胶,1,橡胶垫片
NY401,4,石棉垫片
NY400,4,石棉垫片
XB,4,石棉垫片
无石棉,4,无石棉垫片
缠绕,6,缠绕垫片
NR垫片,1,橡胶垫片
EPDM,1,橡胶垫片
聚丙烯垫片,1,橡胶垫片
三元乙丙,1,橡胶垫片
PTFE,7,PTFE垫片
四氟,7,PTFE垫片
无冷流,7,PTFE垫片
乙烯,7,PTFE垫片
PVC,7,PTFE垫片
石墨,10,石墨垫片
304,10,石墨垫片
八角,9,金属垫片
紫铜,9,金属垫片
波,9,金属垫片
铝垫片,9,金属垫片
计,0,0
齿形,9,金属垫片
金属环绕垫片,9,金属垫片
G,2,定制垫片
M,2,定制垫片
其他,100,其他
